th   par   nrr   aver
0.371  0.940667  0.989667  0.965167
0.372  0.939333  0.99  0.964667
0.373  0.939333  0.99  0.964667
0.374  0.939  0.99  0.9645
0.375  0.938667  0.99  0.964333
0.376  0.938  0.99  0.964
0.377  0.936333  0.99  0.963167
0.378  0.935667  0.99  0.962833
0.379  0.934667  0.990333  0.9625
0.38  0.934333  0.990333  0.962333
0.381  0.933667  0.990333  0.962
0.382  0.932667  0.990667  0.961667
0.383  0.932333  0.990667  0.9615
0.384  0.931333  0.990667  0.961
0.385  0.931333  0.991  0.961167
0.386  0.930667  0.991333  0.961
0.387  0.930333  0.991333  0.960833
0.388  0.930333  0.991333  0.960833
0.389  0.930333  0.991667  0.961
0.39  0.930333  0.991667  0.961
0.391  0.93  0.991667  0.960833
0.392  0.928333  0.991667  0.96
0.393  0.927333  0.991667  0.9595
0.394  0.926  0.992  0.959
0.395  0.924333  0.992667  0.9585
0.396  0.924  0.993  0.9585
0.397  0.924  0.993  0.9585
0.398  0.923667  0.993  0.958333
0.399  0.922667  0.993  0.957833
0.4  0.921  0.993  0.957
0.401  0.92  0.993  0.9565
0.402  0.92  0.993  0.9565
0.403  0.919333  0.993333  0.956333
0.404  0.919  0.993333  0.956167
0.405  0.918667  0.993667  0.956167
0.406  0.918  0.993667  0.955833
0.407  0.917333  0.994  0.955667
0.408  0.916  0.994  0.955
0.409  0.915  0.994333  0.954667
0.41  0.914333  0.994333  0.954333
0.411  0.913667  0.994333  0.954
0.412  0.913333  0.994667  0.954
0.413  0.913  0.994667  0.953833
0.414  0.912667  0.994667  0.953667
0.415  0.911333  0.994667  0.953
0.416  0.910667  0.995  0.952833
0.417  0.910333  0.995  0.952667
0.418  0.908667  0.995  0.951833
0.419  0.908  0.995667  0.951833
0.42  0.907  0.995667  0.951333
0.421  0.905667  0.995667  0.950667
0.422  0.904667  0.995667  0.950167
0.423  0.904  0.995667  0.949833
0.424  0.902667  0.995667  0.949167
0.425  0.900333  0.996  0.948167
0.426  0.898667  0.996  0.947333
0.427  0.898  0.996  0.947
0.428  0.896333  0.996  0.946167
0.429  0.895667  0.996  0.945833
0.43  0.895  0.996333  0.945667
0.431  0.893667  0.996667  0.945167
0.432  0.892  0.997  0.9445
0.433  0.890667  0.997  0.943833
0.434  0.890333  0.997333  0.943833
0.435  0.888333  0.997333  0.942833
0.436  0.888  0.997333  0.942667
0.437  0.888  0.997333  0.942667
0.438  0.886667  0.997333  0.942
0.439  0.885667  0.997333  0.9415
0.44  0.884  0.997333  0.940667
0.441  0.882333  0.997667  0.94
0.442  0.881  0.997667  0.939333
0.443  0.880333  0.997667  0.939
0.444  0.879333  0.997667  0.9385
0.445  0.878  0.997667  0.937833
0.446  0.877  0.997667  0.937333
0.447  0.876  0.997667  0.936833
0.448  0.874  0.997667  0.935833
0.449  0.872667  0.997667  0.935167
0.45  0.870667  0.997667  0.934167
0.451  0.868333  0.997667  0.933
0.452  0.865667  0.997667  0.931667
0.453  0.863667  0.997667  0.930667
0.454  0.862333  0.997667  0.93
0.455  0.860667  0.997667  0.929167
0.456  0.859333  0.997667  0.9285
0.457  0.858333  0.997667  0.928
0.458  0.858  0.997667  0.927833
0.459  0.857  0.998  0.9275
0.46  0.855667  0.998  0.926833
0.461  0.854333  0.998  0.926167
0.462  0.852667  0.998333  0.9255
0.463  0.852  0.998333  0.925167
0.464  0.851  0.998333  0.924667
0.465  0.849333  0.998333  0.923833
0.466  0.847667  0.998333  0.923
0.467  0.845333  0.998333  0.921833
0.468  0.844  0.998333  0.921167
0.469  0.843333  0.998333  0.920833
0.47  0.842667  0.998333  0.9205
0.471  0.842  0.998333  0.920167
0.472  0.841  0.998333  0.919667
0.473  0.840333  0.998333  0.919333
0.474  0.838333  0.998333  0.918333
0.475  0.837  0.998333  0.917667
0.476  0.835333  0.998333  0.916833
0.477  0.834333  0.998333  0.916333
0.478  0.832333  0.998333  0.915333
0.479  0.831333  0.998333  0.914833
0.48  0.83  0.998333  0.914167
0.481  0.828333  0.998333  0.913333
0.482  0.825667  0.998667  0.912167
0.483  0.824  0.998667  0.911333
0.484  0.822333  0.998667  0.9105
0.485  0.821667  0.998667  0.910167
0.486  0.821333  0.998667  0.91
0.487  0.82  0.998667  0.909333
0.488  0.817333  0.998667  0.908
0.489  0.816333  0.998667  0.9075
0.49  0.814  0.998667  0.906333
0.491  0.812333  0.999  0.905667
